NO (cm-1),Toluene,Toluene,T1,T2,T3 MPU,T3 PU,T4 -CSF,T4 -CCF,T4 -F,T5,T7,T9,T10-S,T10-R
2606.73974,97.63751,97.63751,59.9902951791371,72.9222017152929,93.5278407894962,94.6118361997396,84.1017186875642,87.7450826968949,79.5042797031517,72.5518638094804,94.9502099727735,98.2891932852323,87.0100730442978,90.0589477369867
2610.07708,97.70571,97.70571,59.8846232886834,72.7166995044807,93.2919303127287,94.5716447032943,84.2000312451702,87.626412137127,79.2407376347753,72.4150184612628,94.9508191543084,98.2572009831203,86.9329641847314,90.057767473349
2613.41441,97.77392,97.77392,59.7789513982296,72.5111972936685,93.0563102230572,94.5314879745795,84.2983319692956,87.507741577359,78.9901518024751,72.2766947973662,94.9513877237409,98.2251898509305,-25.3381833176249,90.0535922464265
2616.75175,97.84213,97.84213,59.6731434203445,72.3088882960346,92.8240121617636,94.4912964781343,84.3161295242594,87.4224348839288,78.7435297501618,72.1381843988576,94.9519562931734,98.1931975488184,-25.3381833176249,90.0460286350067
2620.08909,97.91034,97.91034,59.5652260872733,72.1085818219192,92.59171410047,94.4511397494195,84.261032838148,87.341500711482,78.4969076978484,71.9990359904243,94.8388109760975,98.1567613483553,-25.3381833176249,90.0368488067136
2623.42643,97.97854,97.97854,59.4573087542021,71.9082753478038,92.3693937397939,94.4109482529743,84.2059479855172,87.2660109231393,78.3006907283523,71.8603855409566,94.7110859142871,98.1081232575045,-25.3381833176249,90.0234051431169
2626.76376,98.04675,98.04675,59.3493914211308,71.7094842968917,92.1510923365262,94.3707915242594,84.1018370223711,87.2465472499673,78.1062091451191,71.7226687645493,94.583401464579,98.0595039967316,-25.3381833176249,90.0086500754782
2630.1011,98.11496,98.11496,59.2416101754909,71.5124792804692,91.9408404635587,94.3306347955447,83.9798101694542,87.2270665630951,77.9261628203453,71.5854499471076,94.4556764027687,98.0108659058808,-25.3381833176249,89.9907086504514
2633.43844,98.18317,98.18317,59.1337608861354,71.3154201417894,91.7462811092576,94.2904432990994,83.8577714830567,87.2277471111081,77.8175236962293,71.448791333502,94.3279513409583,97.9622278150301,-25.3381833176249,89.9704775848542
2636.77578,98.25137,98.25137,59.0259796404955,71.1196058150265,91.5517217549565,94.2502865703846,83.7092139664237,87.2770528146503,77.7089042924118,71.3135954743578,94.2002668912503,97.9135897241793,-25.3381833176249,89.9485735930197
2640.11311,98.31958,98.31958,58.9180623074243,70.9262269898403,91.3885009760526,94.2100950739394,83.5589405950902,87.3263415044923,77.6404748568187,71.17942665558,94.0725418294398,97.8649704634063,-25.3381833176249,89.9233662807339
2643.45045,98.38779,98.38779,58.8101449743531,70.7328481646541,91.226279128759,94.1699383452246,83.408963060774,87.4016781695321,77.6397649260748,71.0481989069423,93.9448573797317,97.8163323725556,-25.3381833176249,89.8971063008793
2646.78779,98.456,98.456,58.7022276412818,70.5393610949534,91.0893906517178,94.1297468487794,83.2606540472357,87.5033180152745,77.6390549953309,70.9181693720656,93.8171323179214,97.7676942817048,-25.3381833176249,89.8681100942131
2650.12513,98.5242,98.5242,58.5921329093087,70.3458199029954,90.9694723965653,94.0895901200646,83.1123450336973,87.6049408473167,77.6937591032085,70.7915944275122,93.689407256111,97.7190561908541,-25.3381833176249,89.8376323554131
